гЮ╨ё╥ж╡Ц1212	x	y	╨Я╤х	╬╝╨е
B-K29	16339066.8	4215802.9	8.86	с╒╤╚107
B-K29	16340029.6	4214955.6	18.42	с╒╤╚116
B-K29	16339681.1	4215662.9	4.1	с╒йт10-1
B-K29	16340734	4214085.6	4.7	с╒йт1-1
B-K29	16339803	4215534.3	6.5	с╒йт11-1
B-K29	16339641.8	4215407.8	27.34	с╒йт12-1
B-K29	16339778.4	4215283.9	21.92	с╒йт15-1
B-K29	16339539.9	4215517.4	14.2	с╒йт8-1
B-K3	16339925.3	4215416.1	18.22	и╟40
B-K3	16339152.5	4216069.9	17.2	с╒11-2
B-K3	16340622.2	4214917.3	2.1	с╒╤╚103
B-K3	16340029.6	4214955.6	25.38	с╒╤╚116
B-K3	16339681.1	4215662.9	8.76	с╒йт10-1
B-K3	16340734	4214085.6	5.1	с╒йт1-1
B-K3	16339803	4215534.3	14.72	с╒йт11-1
B-K3	16339641.8	4215407.8	20.9	с╒йт12-1
B-K3	16339557.9	4215800.4	18.2	с╒йт13-1
B-K3	16339958.1	4215661.3	8.64	с╒йт14-1
B-K3	16339778.4	4215283.9	20.88	с╒йт15-1
B-K3	16339539.9	4215517.4	17.9	с╒йт8-1
B-K31	16339925.3	4215416.1	16.08	и╟40
B-K31	16339152.5	4216069.9	10.82	с╒11-2
B-K31	16340029.6	4214955.6	25.16	с╒╤╚116
B-K31	16339681.1	4215662.9	11.76	с╒йт10-1
B-K31	16340734	4214085.6	11.74	с╒йт1-1
B-K31	16339803	4215534.3	27.82	с╒йт11-1
B-K31	16339641.8	4215407.8	21.46	с╒йт12-1
B-K31	16339557.9	4215800.4	17.7	с╒йт13-1
B-K31	16339958.1	4215661.3	12.8	с╒йт14-1
B-K31	16339778.4	4215283.9	25.54	с╒йт15-1
B-K31	16340030.5	4215206.9	6.2	с╒йт2-1
B-K31	16339539.9	4215517.4	16.6	с╒йт8-1
B-K31	16339833.5	4215789.1	6.58	с╒йт9-1
B-K32	16339925.3	4215416.1	15.76	и╟40
B-K32	16339152.5	4216069.9	13.36	с╒11-2
B-K32	16339315.6	4216264.7	14.32	с╒╤╚102
B-K32	16340029.6	4214955.6	19.64	с╒╤╚116
B-K32	16339681.1	4215662.9	16.42	с╒йт10-1
B-K32	16340734	4214085.6	11.66	с╒йт1-1
B-K32	16339803	4215534.3	15.66	с╒йт11-1
B-K32	16339641.8	4215407.8	4.8	с╒йт12-1
B-K32	16339557.9	4215800.4	18.1	с╒йт13-1
B-K32	16339958.1	4215661.3	24.52	с╒йт14-1
B-K32	16339778.4	4215283.9	10.1	с╒йт15-1
B-K32	16340030.5	4215206.9	7.1	с╒йт2-1
