¾®ºÅ	ÈÕÆÚ	¾®¶Î¶¥	¾®¶Îµ×
L10-203	197404	1112.9	1113.5
L10-203	197404	1114.5	1115.1
L10-203	197404	1118.9	1119.4
L10-203	197404	1120.1	1120.6
L10-203	197404	1121.4	1121.9
L10-203	197404	1123.4	1131.8
L10-203	197404	1133.7	1134.3
L10-203	197404	1135	1135.4
L10-203	197404	1136.2	1137.2
L10-203	197404	1139.5	1142.7
L10-203	197404	1171.1	1171.7
L10-203	197404	1173.3	1173.9
L10-203	197404	1176	1178.2
L10-203	197404	1179.8	1180.3
L10-203	197404	1186.9	1187.3
L10-203	197404	1190.1	1190.5
L10-203	197404	1194.1	1194.5
L10-203	197404	1200.1	1200.7
L10-2031	199304	1154.8	1156.5
L10-2031	199304	1157.4	1158.5
L10-2031	199304	1170.3	1170.8
L10-2031	199304	1171.7	1172.2
L10-2031	199304	1173.7	1175.3
L10-2031	199304	1176.6	1177.2
L10-2031	199304	1178.1	1178.8
L10-2031	199304	1181	1183.8
L10-2031	199304	1184.8	1185.9
L10-2031	199304	1186.5	1189
L10-2031	199304	1191	1192
L10-2031	199304	1192.6	1193.2
L10-2031	199304	1193.5	1196.3
L10-2031	199304	1198.8	1200.9
L10-2032	199304	981.2	983.2
L10-2032	199304	984.8	985.2
L10-2032	199304	998.6	999.7
L10-2032	199304	1000.2	1001.4
L10-2032	199304	1055.4	1056.2
L10-2032	199304	1058.6	1059.4
L10-2032	199304	1168.4	1169.6
L10-2032	199304	1171.1	1171.6
L10-2032	199304	1172	1172.4
L10-2032	199304	1174.3	1174.8
L10-2032	199304	1175.1	1175.6
L10-2032	199304	1176	1177.5
L10-2032	199304	1178	1180.4
L10-2032	199304	1180.7	1181.6
L10-2032	199304	1182	1182.4
L10-2032	199304	1184.8	1185.8
L10-2032	199304	1186.4	1190.4
L10-2032	199304	1190.8	1193.4
L10-2032	199304	1193.8	1194.3
L10-2032	199304	1195.6	1197.7
L10-2032	199304	1200	1201
L10-2032	199304	1201.4	1202.8
L10-2032	199304	1203.7	1206.2
L10-2032	199304	1206.7	1208.1
L10-2032	199304	1209.6	1210.4
L10-2032	199304	1211.6	1215.1
L10-2032	199304	1216.9	1218.8
L10-2036	198407	1112.1	1112.7
L10-2036	198407	1117.3	1117.9
L10-2036	198407	1119.2	1120.6
L10-2036	198407	1121.6	1122.2
L10-2036	198407	1124.4	1133.4
L10-2036	198407	1133.9	1134.5
L10-2036	198407	1139.2	1142
L10-2036	198407	1157.2	1158.4
L10-2036	198407	1162.8	1164
L10-2036	198407	1165.1	1165.6
L10-2036	198407	1167.8	1168.6
L10-2036	198407	1169.2	1170.8
