井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
y9-6-A1	B-K27	589	641	52	27.6	0
y9-6-A1	B-K28	641	693	52	21.9	0
y31-2-A6	B-K28	908	976	68	32.3	32.3
y31-4-B1	B-K26	906	953	47	24.1	19.9
y31-4-B1	B-K27	953	1003	50	29.6	25.7
y31-4-B1	B-K28	1003	1063	60	29.9	17.15
y33-4-A5	B-K26	908	955	47	12.5	11.1
y33-4-A5	B-K27	955	1002	47	25.5	24.75
y33-4-A5	B-K28	1002	1065	63	23	18.6
y31-2-B3	B-K28	907	976	69	38.3	36.8
y31-2-B4	B-K28	908	978	70	45.4	44.95
y9-4-B3	B-K28	1002	1066	64	23.2	21.6
y3-1-B6	B-K26	478	520	42	19.7	6.5
y33-4-B4	B-K26	905	951	46	16.2	14.05
y33-4-B4	B-K27	951	998	47	21.2	20.3
y33-4-B4	B-K28	998	1062	64	22.1	16.05
y35-4-A6	B-K26	842	906	64	14.4	13.05
y35-4-A6	B-K27	906	954	48	18	16.35
y35-4-A6	B-K28	954	1020	66	28.4	14.3
y31-2-B2	B-K28	906	974	68	39.2	37
y11-4-B1	B-K27	961	1010	49	14.8	10.75
y11-4-B1	B-K28	1010	1072	62	26.7	15.6
y33-4-B3	B-K26	900	948	48	14.9	12.7
y33-4-B3	B-K27	948	994	46	24.6	24.6
y33-4-B3	B-K28	994	1055	61	22.8	19.75
y31-2-B1	B-K28	905	975	70	41.9	40.9
y9-4-B2	B-K28	999	1062	63	22.7	20.85
y33-4-B2	B-K26	894	945	51	21.7	9
y33-4-B2	B-K27	945	992	47	18.1	16.8
y33-4-B2	B-K28	992	1056	64	29.9	10.25
y9-4-B1	B-K28	1000	1062	62	25	22
y33-4-B1	B-K26	892	943	51	20.2	11.6
y33-4-B1	B-K27	943	991	48	27	16.9
y33-4-B1	B-K28	991	1054	63	19.9	6
