井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比	解释砂层个数	解释油层个数	加权孔隙度(%)	加权渗透率(md)	突进系数Tk	渗透率级差Jk	变异系数Vk
y15-2	B-K211	1274	1320	46	24.8	0	0.54	9	9	18.1	74.98	2.09	21.18	2.26
y15-2	B-K212	1320	1402	82	50.4	4.9	0.61	12	12	17.57	59.43	2.05	7.74	2.08
y7-1-B6	B-K211	1164	1192	28	18.1	2.9	0.65	6	6	16.62	72.73	2.01	5.13	1.39
y7-1-B6	B-K212	1192	1251	59	24.4	9.65	0.41	9	9	15.35	39.8	1.68	3.01	1.08
y9-1-B6	B-K211	1176	1205	29	15.2	4.75	0.52	4	4	17.83	109.04	1.24	1.84	0.41
y9-1-B6	B-K212	1205	1266	61	34.8	25.35	0.57	13	13	16.99	103.79	1.48	4.17	1.21
y9-2-A6	B-K211	1180	1216	36	10.1	7.65	0.28	6	6	13.1	30.06	1.5	2.9	0.94
y9-2-A6	B-K212	1216	1278	62	30.6	21.85	0.49	13	13	19.51	56.02	1.75	3.49	1.35
y13-4-A6	B-K211	1219	1261	42	13.3	0	0.32	6	6	15.22	67.22	1.97	6.89	1.56
y13-4-A6	B-K212	1261	1326	65	27.2	0	0.42	12	12	15.89	56.27	2.34	5.51	1.96
y7-6-A5	B-K211	1129	1161	32	21	21	0.66	8	8	18.33	64.95	1.48	3.21	1.1
y45-2-B6	B-K211	926	962	36	8.1	1.25	0.23	5	5	21	152.27	1.36	3.22	0.7
y45-2-B6	B-K212	962	1023	61	28.2	0.55	0.46	9	9	21.91	180.96	1.59	3.51	1.05
y11-2-B4	B-K211	1200	1237	37	19.5	0	0.53	8	8	19.25	128.15	1.86	4.46	1.37
y11-2-B4	B-K212	1237	1296	59	33.5	0	0.57	10	10	18.54	126.8	2.02	6.67	1.65
y3-4-A6	B-K211	1130	1166	36	14.9	14.3	0.41	7	7	17.93	67.29	1.46	2.73	0.86
y3-4-A6	B-K212	1166	1226	60	18.5	18.5	0.31	9	9	15.59	68.67	1.46	2.41	1.09
y7-1-B3	B-K211	1165	1200	35	17.6	6.6	0.5	6	6	15.57	68.01	1.3	2.86	0.67
y7-1-B3	B-K212	1200	1258	58	31.8	27.8	0.55	13	13	16.99	59.13	1.42	2.44	0.99
y9-2-B5	B-K211	1178	1216	38	24.7	20.7	0.65	10	10	18.43	50.15	1.84	6.48	1.4
y9-2-B5	B-K212	1216	1276	60	33.2	20.25	0.55	12	12	17.99	35.74	2.27	8.47	2.05
y7-6-A4	B-K211	1132	1165	33	13.4	12.7	0.41	6	6	18.67	90.81	1.48	3.52	0.91
y7-6-A4	B-K212	1165	1201	36	14.1	14.1	0.39	8	8	15.44	187.85	1.43	3.47	1.05
y1-1-B5	B-K211	1113	1145	32	8.1	4.9	0.25	5	5	14.31	42.26	1.6	2.39	0.78
y1-1-B5	B-K212	1145	1202	57	21.1	18.3	0.37	9	9	15.36	37.11	1.75	2.7	1
y7-1-B5	B-K211	1160	1190	30	18.1	7.2	0.6	6	6	15.79	134.4	2.3	7.44	2.06
y7-1-B5	B-K212	1190	1249	59	34.4	23.9	0.58	10	10	13.99	112.28	2.47	13.15	1.94
y5-4-A6	B-K211	1146	1185	39	15.6	15.6	0.4	7	7	10.95	109.26	1.37	1.75	0.45
y5-4-A6	B-K212	1185	1246	61	14.5	14.5	0.24	8	8	2.52	117.54	1.51	2.4	0.76
y9-2-B4	B-K211	1187	1225	38	13	11.3	0.34	7	7	11.38	46.87	1.58	2.76	0.74
y9-2-B4	B-K212	1225	1284	59	26.5	19.55	0.45	12	12	16.72	128.57	1.76	4.22	1.52
y1-1-B3	B-K211	1111	1144	33	10.8	6.65	0.33	4	4	16.75	65.24	2.21	7.66	1.46
y1-1-B3	B-K212	1144	1202	58	23.6	16	0.41	14	14	15.96	70.76	2.2	34.12	2.08
y7-6-A3	B-K211	1134	1165	31	17.6	14.85	0.57	5	5	14.85	23.03	1.98	4.94	1.19
y9-4-A6	B-K211	1180	1219	39	21.7	15.1	0.56	7	7	16.16	102.53	1.32	1.67	0.39
y9-4-A6	B-K212	1219	1282	63	23.8	20.6	0.38	12	12	15.59	84.74	1.67	3.97	1.31
y3-4-A5	B-K211	1129	1165	36	13.3	13.3	0.37	5	5	18.29	115.97	1.15	1.37	0.23
y3-4-A5	B-K212	1165	1226	61	20.4	19.05	0.33	11	11	18.44	92.54	1.77	4.71	1.41
y9-2-B3	B-K211	1179	1221	42	18.8	13.9	0.45	8	8	15.47	38.99	1.78	3.43	1.16
y9-2-B3	B-K212	1221	1283	62	29.2	23.95	0.47	12	12	16.64	53.48	2.39	4.9	2.08
y5-1-B5	B-K211	1159	1189	30	17.1	5.5	0.57	5	5	20.15	224.15	1.24	2.2	0.54
y5-1-B5	B-K212	1189	1246	57	28.7	18.6	0.5	14	14	17.93	138.88	2.17	49.35	2.34
y7-2-A6	B-K211	1173	1206	33	12.7	9	0.38	7	7	16.48	37.53	2.18	4.81	1.48
y7-2-A6	B-K212	1206	1265	59	33.6	18.55	0.57	10	10	16.72	44.55	1.52	3.74	1.05
y7-6-B3	B-K211	1133	1162	29	12	6	0.41	5	5	16.67	47.44	1.76	4.3	1.19
y5-4-A5	B-K211	1147	1185	38	18.4	15.85	0.48	7	7	11.68	33.82	1.56	2.43	0.71
y5-4-A5	B-K212	1185	1247	62	28.9	23.95	0.47	13	13	13.06	50.08	3.39	6.89	2.61
y9-2-B2	B-K211	1179	1225	46	16.9	14.75	0.37	8	8	21.87	97.65	1.78	7.13	1.22
y9-1-B4	B-K211	1172	1200	28	11	1.5	0.39	5	5	17.16	128.11	1.72	3.59	1.02
y9-1-B4	B-K212	1200	1257	57	27.9	11.85	0.49	11	11	16.11	113.01	1.83	8.74	1.57
y5-1-B3	B-K211	1158	1188	30	15.1	3.4	0.5	5	5	16.16	19.81	1.35	1.94	0.5
y5-1-B3	B-K212	1188	1245	57	27.4	15.15	0.48	14	14	11.96	13.52	1.45	2.42	0.81
y1-2-B4	B-K211	1106	1142	36	16.2	16.2	0.45	5	5	20.04	72.7	1.36	1.78	0.5
y1-2-B4	B-K212	1142	1198	56	21.5	20.6	0.38	11	11	19.82	41.68	1.88	3.83	1.24
y1-1-B2	B-K211	1110	1145	35	6.4	4.9	0.18	3	3	13.42	84.08	1.52	3.19	0.74
y13-6-A5	B-K211	1203	1216	13	5.1	0	0.39	2	2	14.81	37.68	1.35	2.07	0.49
y5-1-B2	B-K211	1158	1190	32	1.5	0	0.05	1	1	24.02	179.55	1	1	0
y3-4-B4	B-K211	1128	1166	38	18.3	18.3	0.48	6	6	16.59	125.34	1.18	1.39	0.3
y3-4-B4	B-K212	1166	1225	59	24.1	21.2	0.41	12	12	16.08	92.62	1.77	3.76	1.27
y3-2-B5	B-K211	1124	1159	35	17.5	14.3	0.5	8	8	13.71	41.68	2.21	210.06	1.6
y3-2-B5	B-K212	1159	1221	62	30	27	0.48	17	17	17.53	76.69	4.61	14.84	3.87
y5-4-B4	B-K211	1148	1187	39	18.1	17.4	0.46	9	9	13.86	72.16	1.48	5.04	1.07
y5-4-B4	B-K212	1187	1248	61	28.1	27.5	0.46	13	13	19.75	97.61	1.69	6.58	1.66
y7-6-B2	B-K211	1135	1165	30	0.7	0.35	0.02	1	1	17.96	31.12	1	1	0
y1-2-B3	B-K211	1106	1143	37	17.4	17.4	0.47	5	5	18.57	118.76	1.42	1.89	0.52
y1-2-B3	B-K212	1143	1200	57	25.1	23.4	0.44	10	10	15.84	72.13	1.43	3.38	1.12
y7-2-B5	B-K211	1174	1204	30	10.4	7.6	0.35	7	7	7.72	42.82	1.61	2.21	0.79
y7-2-B5	B-K212	1204	1267	63	34.1	25.55	0.54	11	11	12.21	52.71	2.16	3.6	1.45
y3-2-B3	B-K211	1124	1160	36	19	19	0.53	8	8	18.66	119.72	2.06	6.75	1.78
y3-2-B3	B-K212	1160	1221	61	29.5	27	0.48	15	15	17.09	90.62	1.72	17.73	1.67
y9-1-B3	B-K211	1163	1198	35	15.2	4.45	0.43	6	6	14.5	147.03	2.63	19.73	2.25
y9-1-B3	B-K212	1198	1251	53	29.1	14.75	0.55	10	10	14.9	108.05	2	18.3	1.92
y5-4-B3	B-K211	1147	1186	39	17.2	15.7	0.44	7	7	13.51	76.74	1.5	756.5	1.19
y5-4-B3	B-K212	1186	1246	60	30.9	28.5	0.52	12	12	16.89	93.23	2	84.36	2.06
y31-4-A6	B-K211	1192	1230	38	8.1	8.1	0.21	4	4	19.56	106.25	1.33	1.84	0.52
y31-4-A6	B-K212	1230	1292	62	30.3	22.25	0.49	18	18	18.7	81.65	1.7	3.97	1.55
y3-4-B2	B-K211	1126	1160	34	9	9	0.26	4	4	21	113.84	1.56	5.69	0.96
y7-2-B4	B-K211	1175	1207	32	14	10.95	0.44	8	8	16.85	94.58	2.12	7.08	1.61
y7-2-B4	B-K212	1207	1266	59	24.8	21.3	0.42	10	10	15.09	65.14	2.54	6.96	2.08
y1-2-B2	B-K211	1109	1140	31	5.8	5.8	0.19	2	2	21.47	95.98	1.14	1.32	0.2
y3-2-B2	B-K211	1125	1155	30	7.2	7.2	0.24	2	2	22.57	235.68	1.05	1.1	0.06
y5-6-A5	B-K211	1134	1200	66	26.1	20.2	0.4	9	9	18.76	134.71	1.81	8.51	1.52
y5-6-A5	B-K212	1200	1272	72	39.3	36.1	0.55	14	14	19.51	116.98	1.75	17.83	1.93
y13-2-A6	B-K211	1259	1296	37	12.4	0	0.34	3	3	15.51	148.55	1.49	2.13	0.61
y13-2-A6	B-K212	1296	1546	250	108.1	1.75	0.43	29	29	18.45	194.28	2.23	71.61	3.3
y11-4-A6	B-K211	1182	1224	42	23.5	6.5	0.56	7	7	12.74	114.04	1.45	8.06	1.04
y11-4-A6	B-K212	1224	1284	60	27.7	18	0.46	13	13	14.39	75.8	2.14	29.45	1.77
