方4-斜3	907.95	354.455	0.904
方4-斜3	908.95	355.064	0.918
方4-斜3	909.95	355.745	0.934
方4-斜3	910.95	357.236	0.948
方4-斜3	911.95	359.236	0.955
方4-斜3	912.95	0.645	0.952
方4-斜3	913.95	0.245	0.941
方4-斜3	914.95	359.609	0.929
方4-斜3	915.95	359.864	0.922
方4-斜3	916.95	359.536	0.919
方4-斜3	917.95	358.591	0.918
方4-斜3	918.95	358.127	0.92
方4-斜3	919.95	357.991	0.922
方4-斜3	920.95	357.545	0.922
方4-斜3	921.95	356.645	0.918
方4-斜3	922.95	355.136	0.907
方4-斜3	923.95	354.209	0.896
方4-斜3	924.95	353.227	0.886
方4-斜3	925.95	352.8	0.88
方4-斜3	926.95	353.273	0.878
方4-斜3	927.95	353.527	0.877
方4-斜3	928.95	353.945	0.878
方4-斜3	929.95	355.827	0.877
方4-斜3	930.95	357.7	0.873
方4-斜3	931.95	359.227	0.868
方4-斜3	932.95	0.182	0.864
方4-斜3	933.95	0.9	0.866
方4-斜3	934.95	1.773	0.872
方4-斜3	935.95	2.991	0.877
方4-斜3	936.95	3.591	0.879
方4-斜3	937.95	3.6	0.878
方4-斜3	938.95	3.7	0.876
方4-斜3	939.95	3.664	0.876
方4-斜3	940.95	2.982	0.877
方4-斜3	941.95	2.264	0.878
方4-斜3	942.95	1.727	0.877
方4-斜3	943.95	1.773	0.876
方4-斜3	944.95	2	0.876
方4-斜3	945.95	2.1	0.877
方4-斜3	946.95	2.2	0.879
方4-斜3	947.95	1.755	0.882
方4-斜3	948.95	1.291	0.885
方4-斜3	949.95	0.691	0.888
方4-斜3	950.95	0.227	0.89
方4-斜3	951.95	359.809	0.894
方4-斜3	952.95	359.755	0.898
方4-斜3	953.95	359.482	0.902
方4-斜3	954.95	359.2	0.907
方4-斜3	955.95	359.373	0.912
方4-斜3	956.95	359.7	0.916
方4-斜3	957.95	359.809	0.917
方4-斜3	958.95	0.218	0.917
方4-斜3	959.95	0.5	0.916
方4-斜3	960.95	0.345	0.916
方4-斜3	961.95	0.2	0.917
方4-斜3	962.95	0.155	0.918
方4-斜3	963.95	359.564	0.92
方4-斜3	964.95	358.8	0.921
方4-斜3	965.95	358.845	0.923
方4-斜3	966.95	359.1	0.926
方4-斜3	967.95	358.9	0.93
方4-斜3	968.95	359.082	0.934
方4-斜3	969.95	359.118	0.938
方4-斜3	970.95	358.273	0.942
方4-斜3	971.95	358.145	0.945
方4-斜3	972.95	359.482	0.949
方4-斜3	973.95	0.5	0.953
方4-斜3	974.95	1.418	0.957
方4-斜3	975.95	1.673	0.96
方4-斜3	976.95	1.173	0.963
方4-斜3	977.95	0.827	0.966
方4-斜3	978.95	0.6	0.968
方4-斜3	979.95	0.664	0.971
方4-斜3	980.95	1	0.974
方4-斜3	981.95	1.191	0.979
方4-斜3	982.95	1.264	0.983
方4-斜3	983.95	1.591	0.989
方4-斜3	984.95	1.664	0.994
方4-斜3	985.95	1.6	0.999
方4-斜3	986.95	1.6	1.004
方4-斜3	987.95	1.782	1.007
方4-斜3	988.95	1.936	1.009
方4-斜3	989.95	2.355	1.01
方4-斜3	990.95	2.709	1.012
方4-斜3	991.95	2.9	1.014
方4-斜3	992.95	3.336	1.017
方4-斜3	993.95	3.4	1.019
方4-斜3	994.95	3.6	1.021
方4-斜3	995.95	3.673	1.025
方4-斜3	996.95	3.6	1.031
方4-斜3	997.95	3.6	1.04
方4-斜3	998.95	3.682	1.048
方4-斜3	999.95	3.918	1.054
方4-斜3	1000.95	4.2	1.058
方4-斜3	1001.95	4.382	1.059
方4-斜3	1002.95	4.855	1.06
方4-斜3	1003.95	5.6	1.06
方4-斜3	1004.95	5.864	1.059
方4-斜3	1005.95	6.445	1.058
方4-斜3	1006.95	6.864	1.058
方4-斜3	1007.95	6.8	1.06
方4-斜3	1008.95	6.491	1.065
方4-斜3	1009.95	6.3	1.071
方4-斜3	1010.95	6.064	1.078
方4-斜3	1011.95	5.645	1.083
方4-斜3	1012.95	5.091	1.086
方4-斜3	1013.95	5.118	1.087
方4-斜3	1014.95	5.536	1.086
方4-斜3	1015.95	5.736	1.083
方4-斜3	1016.95	6.018	1.079
方4-斜3	1017.95	6.627	1.077
方4-斜3	1018.95	6.995	1.076
方4-斜3	1019.95	7.428	1.077
方4-斜3	1020.95	7.847	1.079
方4-斜3	1021.95	8.227	1.08
方4-斜3	1022.95	8.568	1.081
方4-斜3	1023.95	8.967	1.083
方4-斜3	1024.95	9.582	1.086
方4-斜3	1025.95	10.435	1.088
方4-斜3	1026.95	11.319	1.089
方4-斜3	1027.95	11.94	1.09
方4-斜3	1028.95	12.151	1.09
方4-斜3	1029.95	12.033	1.09
方4-斜3	1030.95	11.85	1.09
方4-斜3	1031.95	11.901	1.092
方4-斜3	1032.95	12.318	1.093
方4-斜3	1033.95	13.05	1.096
方4-斜3	1034.95	13.805	1.099
方4-斜3	1035.95	14.468	1.101
方4-斜3	1036.95	15.113	1.103
方4-斜3	1037.95	15.837	1.104
方4-斜3	1038.95	16.542	1.104
方4-斜3	1039.95	17.125	1.103
方4-斜3	1040.95	17.625	1.103
方4-斜3	1041.95	18.142	1.104
方4-斜3	1042.95	18.639	1.106
方4-斜3	1043.95	19.05	1.108
方4-斜3	1044.95	19.262	1.109
方4-斜3	1045.95	19.299	1.11
方4-斜3	1046.95	19.363	1.11
方4-斜3	1047.95	19.642	1.109
方4-斜3	1048.95	20.082	1.109
方4-斜3	1049.95	20.447	1.111
方4-斜3	1050.95	20.631	1.116
方4-斜3	1051.95	20.773	1.125
方4-斜3	1052.95	21.061	1.135
方4-斜3	1053.95	21.571	1.144
方4-斜3	1054.95	22.202	1.154
方4-斜3	1055.95	22.625	1.163
方4-斜3	1056.95	22.599	1.17
方4-斜3	1057.95	22.436	1.175
方4-斜3	1058.95	22.781	1.175
方4-斜3	1059.95	23.896	1.169
方4-斜3	1060.95	25.497	1.16
方4-斜3	1061.95	26.848	1.15
方4-斜3	1062.95	27.481	1.137
方4-斜3	1063.95	27.87	1.116
方4-斜3	1064.95	28.711	1.087
方4-斜3	1065.95	29.813	1.057
方4-斜3	1066.95	30.506	1.031
方4-斜3	1067.95	30.592	1.013
方4-斜3	1068.95	30.488	0.999
方4-斜3	1069.95	30.45	0.984
方4-斜3	1070.95	30.529	0.97
方4-斜3	1071.95	30.71	0.956
方4-斜3	1072.95	30.927	0.945
方4-斜3	1073.95	31.147	0.934
方4-斜3	1074.95	31.481	0.926
方4-斜3	1075.95	32.079	0.922
方4-斜3	1076.95	32.885	0.925
方4-斜3	1077.95	33.619	0.934
方4-斜3	1078.95	34.095	0.948
方4-斜3	1079.95	34.383	0.966
方4-斜3	1080.95	34.554	0.987
方4-斜3	1081.95	34.527	1.006
方4-斜3	1082.95	34.283	1.022
方4-斜3	1083.95	33.95	1.033
方4-斜3	1084.95	33.711	1.034
方4-斜3	1085.95	33.646	1.027
方4-斜3	1086.95	33.8	1.014
方4-斜3	1087.95	34.024	1
方4-斜3	1088.95	34.094	0.99
方4-斜3	1089.95	34.035	0.988
方4-斜3	1090.95	34.099	0.991
方4-斜3	1091.95	34.488	0.997
方4-斜3	1092.95	35.069	1.002
方4-斜3	1093.95	35.545	1.004
