jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
…∞40	201205	30.67	162.77 	8.23 	1.5877 	0.1780 	0.0090 	15.2040 	0.29	0.00	0.00	0.00
”¢∂´102	201205	25.58	110.42 	35.13 	0.6011 	0.1025 	0.0152 	0.8209 	0.37	0.00	0.00	0.00
”¢∂´105	201205	1.46	0.01 	1.58 	0.0000 	0.0009 	0.0008 	0.0000 	0.05	0.00	0.00	0.00
”¢ ‘1-1	201205	10.40	11.13 	1.25 	0.6528 	0.0430 	0.0130 	9.7153 	0.20	0.00	0.00	0.00
”¢ ‘1-2	201205	30.83	161.61 	24.61 	3.0423 	0.0788 	0.0225 	40.2261 	0.24	0.00	0.00	0.00
”¢ ‘1-3	201205	24.56	122.45 	9.53 	2.0139 	0.1695 	0.0150 	18.6965 	0.40	0.00	0.00	0.00
”¢ ‘1-4	201205	30.90	269.95 	19.95 	3.5475 	0.1960 	0.0230 	25.9923 	0.19	0.00	0.00	0.00
”¢ ‘2-2	201205	21.17	9.20 	25.54 	0.7710 	0.0035 	0.0033 	3.1025 	0.20	0.00	0.00	0.00
”¢ ‘2-3	201205	25.79	0.22 	25.84 	1.3531 	0.0010 	0.0031 	16.8656 	1.06	0.37	0.00	0.00
”¢ ‘2-4	201205	23.27	11.41 	0.72 	1.5835 	0.0068 	0.0024 	12.9762 	0.31	0.00	0.00	0.00
”¢ ‘2-5	201205	0.88	0.00 	0.00 	0.1690 	0.0090 	0.0041 	37.3258 	1.42	0.00	0.00	0.00
”¢ ‘3-1	201205	23.16	0.00 	0.00 	6.9247 	0.0045 	0.0019 	26.2482 	2.76	3.37	0.00	0.00
”¢ ‘4-1	201205	8.77	13.54 	37.88 	0.1443 	0.0014 	0.0038 	0.1443 	0.31	0.00	0.00	0.00
”¢ ‘4-2	201205	0.00	0.00 	0.00 	0.0000 	0.0029 	0.0220 	0.5729 	0.00	0.00	0.00	0.00
”¢ ‘4-3	201205	12.00	132.37 	5.46 	0.8374 	0.0730 	0.0382 	2.6785 	0.41	0.00	0.00	0.00
