jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
”¢ ‘1-3	201211	29.71	204.87	5.83	3.0913 	0.2997 	0.0197 	37.7616 	0.29	0.00	0.00	0.00
”¢ ‘1-4	201211	29.71	132.45	69.65	3.0925 	0.2859 	0.0455 	43.7841 	0.26	0.00	0.00	0.00
”¢ ‘11-1	201211	29.88	376.23	7.77	3.1074 	0.1515 	0.0061 	12.8631 	6.97	1.31	0.00	0.00
”¢ ‘12-1	201211	19.67	168.67	3.33	1.1888 	0.1353 	0.0059 	9.9792 	5.82	0.95	0.00	0.00
”¢ ‘13-1	201211	28.67	256.11	4.70	7.4654 	0.1058	0.0065	25.4002	0.37	0.00	0.00	0.00
”¢ ‘14-1	201211	28.67	25.94	4.01	0.9261 	0.0131 	0.0067 	58.4333 	0.24	0.00	0.00	0.00
”¢ ‘15-1	201211	15.64	109.56	1.63	8.9291 	0.0484	0.0068	47.05450000	4.60	2.56	0.00	0.00
”¢ ‘2-1	201211	29.71	137.29	5.11	3.5956 	0.0713	0.0141	19.1497	0.37	0.00	0.00	0.00
”¢ ‘2-2	201211	8.29	11.57	35.36	1.1111 	0.0047	0.0068	4.2136	0.20	0.00	0.00	0.00
”¢ ‘2-3	201211	2.52	6.38	6.03	0.1252 	0.0016	0.0050	18.3108	0.87	0.00	0.00	0.00
”¢ ‘2-4	201211	21.00	199.11	47.12	2.0894 	0.0283 	0.0073 	15.5501 	0.36	0.00	0.00	0.00
”¢ ‘2-5	201211	0.00	0.00	0.00	0.0000 	0.0090	0.0041	37.32580000	0.00	0.00	0.00	0.00
”¢ ‘3-1	201211	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.16692000	0.00	0.00	0.00	0.00
”¢ ‘4-3	201211	28.79	293.68	125.63	1.7474 	0.2459	0.0854	12.5124	0.28	0.00	0.00	0.00
”¢ ‘6-1	201211	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201211	29.88	262.26	4.70	6.6276 	0.2217	0.0129	40.2577	4.52	1.36	0.00	0.00
”¢ ‘9-1	201211	29.46	384.54	11.60	21.7962 	0.2461	0.0171	127.4116	6.42	3.47	0.00	0.00
…∞37	201212	31.00	49.78	16.69	2.9078 	0.1921	0.0570	62.3125	0.50	0.00	0.00	0.00
”¢∂´102	201212	17.04	62.20	25.56	0.2001 	0.1771	0.0201	6.5614	0.40	0.00	0.00	0.00
”¢∂´104	201212	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201212	29.40	604.31	41.34	2.7736 	0.1161	0.0157	6.3811	5.33	2.41	0.00	0.00
”¢∂´107	201212	31.00	53.84	11.01	0.3825 	0.0655	0.0096	5.3735	0.23	0.00	0.00	0.00
”¢∂´108	201212	23.79	0.00	0.00	0.0000 	0.0000	0.0000	0.0000	0.00	0.00	0.00	0.00
”¢∂´116	201212	0.58	0.00	0.00	0.0000 	0.0000	0.0000	0.0000	0.00	0.00	0.00	0.00
”¢ ‘1-1	201212	31.00	34.24	11.31	3.2868 	0.0677	0.0291	29.6761	0.45	0.00	0.00	0.00
”¢ ‘1-2	201212	31.00	173.88	13.16	3.4324 	0.1828	0.0333	60.6269	0.45	0.00	0.00	0.00
”¢ ‘1-3	201212	31.00	211.96	9.89	3.4665 	0.3209	0.0206	41.2281	0.37	0.00	0.00	0.00
”¢ ‘1-4	201212	19.56	80.10	76.10	1.6805 	0.2939	0.0531	45.4646	0.38	0.00	0.00	0.00
”¢ ‘11-1	201212	31.00	497.37	9.27	5.9638 	0.2013	0.0070	18.8269	6.24	2.19	0.00	0.00
”¢ ‘12-1	201212	29.77	210.03	16.34	3.0038 	0.1563	0.0075	12.9830	2.85	0.93	0.00	0.00
”¢ ‘13-1	201212	30.88	212.57	6.34	5.4090 	0.1270	0.0071	30.8092	0.50	0.00	0.00	0.00
”¢ ‘14-1	201212	31.00	18.86	1.88	0.5816 	0.0150	0.0069	59.0149	0.21	0.00	0.00	0.00
”¢ ‘15-1	201212	30.79	177.04	3.99	7.8170 	0.0661	0.0072	54.8715	1.48	0.00	0.00	0.00
”¢ ‘2-1	201212	31.00	127.27	2.24	3.7019 	0.0840	0.0143	22.8516	0.70	0.00	0.00	0.00
”¢ ‘2-2	201212	30.88	62.02	4.76	3.5170 	0.0109	0.0073	7.7306	0.46	0.00	0.00	0.00
”¢ ‘2-3	201212	18.13	22.12	4.71	11.4876 	0.0038	0.0055	29.7984	0.62	0.00	0.00	0.00
”¢ ‘2-4	201212	22.04	225.15	4.22	3.0095 	0.0508	0.0077	18.5596	0.67	0.00	0.00	0.00
”¢ ‘2-5	201212	6.17	15.09	37.54	6.1987 	0.0106	0.0079	43.5245	4.81	4.15	0.00	0.00
”¢ ‘3-1	201212	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201212	30.71	268.06	98.73	2.2255 	0.2727	0.0952	14.7379	0.43	0.00	0.00	0.00
”¢ ‘6-1	201212	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201212	31.00	256.81	5.58	7.3486 	0.2474	0.0135	47.6063	4.28	1.45	0.00	0.00
”¢ ‘9-1	201212	31.00	374.78	7.64	34.7253 	0.2836	0.0179	162.1369	6.17	3.67	0.00	0.00
…∞37	201301	30.90	48.26	18.97	3.6574 	0.1969	0.0589	65.9699	0.42	0.00	0.00	0.00
”¢∂´102	201301	30.83	114.36	26.41	0.5645 	0.1885	0.0227	7.1259	0.43	0.00	0.00	0.00
”¢∂´104	201301	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201301	31.00	527.13	17.77	4.6025 	0.1688	0.0174	10.9836	5.00	1.25	0.00	0.00
”¢∂´107	201301	10.06	18.16	3.76	0.1556 	0.0673	0.0100	5.5291	0.21	0.00	0.00	0.00
”¢∂´108	201301	30.38	51.11	81.01	0.3045 	0.0051	0.0081	0.3045	0.18	0.00	0.00	0.00
”¢∂´113	201301	2.83	8.02	14.30	0.0840 	0.0008	0.0014	0.0840	0.14	0.00	0.00	0.00
”¢∂´114	201301	10.00	19.22	10.51	1.9058 	0.0019	0.0011	1.9058	0.25	0.00	0.00	0.00
”¢∂´116	201301	30.90	130.44	37.11	2.0865 	0.0130	0.0037	2.0865	0.30	0.00	0.00	0.00
”¢∂´117	201301	7.75	127.86	34.63	1.9203 	0.0128	0.0035	1.9203	2.34	0.00	0.00	0.00
”¢ ‘1-1	201301	30.90	34.33	22.93	3.6889 	0.0711	0.0314	33.3650	0.43	0.00	0.00	0.00
”¢ ‘1-2	201301	30.90	197.16	17.76	3.6527 	0.2025	0.0350	64.2796	0.42	0.00	0.00	0.00
”¢ ‘1-3	201301	30.90	212.02	8.71	3.6465 	0.3421	0.0215	44.8746	0.42	0.00	0.00	0.00
”¢ ‘1-4	201301	30.90	89.97	85.66	3.4987 	0.3029	0.0617	48.9633	0.42	0.00	0.00	0.00
”¢ ‘11-1	201301	31.00	383.45	7.10	4.4424 	0.2396	0.0077	23.2693	6.95	1.83	0.00	0.00
”¢ ‘12-1	201301	30.83	194.45	3.11	4.4675 	0.1757	0.0078	17.4505	0.45	0.00	0.00	0.00
”¢ ‘13-1	201301	20.79	188.89	2.86	3.0277 	0.1459	0.0074	33.8369	0.45	0.00	0.00	0.00
”¢ ‘14-1	201301	9.10	10.94	0.23	0.1456 	0.0161	0.0069	59.1605	0.48	0.00	0.00	0.00
”¢ ‘15-1	201301	30.83	156.69	5.97	4.2539 	0.0817	0.0078	59.1254	0.47	0.00	0.00	0.00
”¢ ‘2-1	201301	30.94	105.37	1.78	4.3670 	0.0946	0.0145	27.2186	0.42	0.00	0.00	0.00
”¢ ‘2-2	201301	30.94	13.23	1.42	4.0450 	0.0122	0.0074	11.7756	0.50	0.00	0.00	0.00
”¢ ‘2-3	201301	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201301	30.94	276.50	3.83	4.1754 	0.0785	0.0081	22.7350	0.41	0.00	0.00	0.00
”¢ ‘2-5	201301	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201301	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201301	30.94	219.25	113.52	3.9894 	0.2946	0.1066	18.7273	0.43	0.00	0.00	0.00
”¢ ‘6-1	201301	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201301	31.00	400.85	4.97	5.4272 	0.2875	0.0140	53.0335	3.92	1.37	0.00	0.00
”¢ ‘9-1	201301	22.25	304.97	6.40	29.5094 	0.3141	0.0185	191.6463	5.83	3.65	0.00	0.00
…∞37	201302	27.77	44.13	25.61	3.3434 	0.2013	0.0614	69.3133	0.39	0.00	0.00	0.00
”¢∂´102	201302	3.75	14.20	2.75	0.0949 	0.1899	0.0230	7.2208	0.40	0.00	0.00	0.00
”¢∂´104	201302	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201302	28.00	631.60	8.46	6.1137 	0.2320	0.0183	17.0973	4.86	2.22	0.00	0.00
”¢∂´107	201302	0.00	0.00	0.00	0.0000 	0.0673	0.0100	5.5291	0.00	0.00	0.00	0.00
”¢∂´108	201302	27.77	27.59	81.11	1.6578 	0.0079	0.0162	1.9623	0.35	0.00	0.00	0.00
”¢∂´113	201302	27.77	105.84	8.41	2.4516 	0.0114	0.0023	2.5356	0.53	0.00	0.00	0.00
”¢∂´114	201302	27.77	52.14	22.78	3.9868 	0.0071	0.0033	5.8926	0.53	0.00	0.00	0.00
”¢∂´116	201302	27.77	112.89	3.27	2.4526 	0.0243	0.0040	4.5391	0.35	0.00	0.00	0.00
”¢∂´117	201302	27.77	474.37	9.89	5.0208 	0.0602	0.0045	6.9411	0.68	0.00	0.00	0.00
”¢ ‘1-1	201302	27.77	36.94	33.01	3.3815 	0.0748	0.0347	36.7465	0.41	0.00	0.00	0.00
”¢ ‘1-2	201302	27.77	139.92	29.33	3.4245 	0.2165	0.0380	67.7041	0.42	0.00	0.00	0.00
”¢ ‘1-3	201302	27.77	176.54	31.89	3.3340 	0.3597	0.0247	48.2086	0.41	0.00	0.00	0.00
”¢ ‘1-4	201302	27.77	93.11	73.24	3.3799 	0.3122	0.0690	52.3432	0.37	0.00	0.00	0.00
”¢ ‘11-1	201302	27.79	569.39	10.37	6.1634 	0.2966	0.0088	29.4327	5.73	2.57	0.00	0.00
”¢ ‘12-1	201302	27.81	213.24	2.59	5.7959 	0.1971	0.0081	23.2464	0.63	0.00	0.00	0.00
”¢ ‘13-1	201302	0.00	0.00	0.00	0.0000 	0.1459	0.0074	33.8369	0.00	0.00	0.00	0.00
”¢ ‘14-1	201302	0.00	0.00	0.00	0.0000 	0.0161	0.0069	59.1605	0.00	0.00	0.00	0.00
”¢ ‘15-1	201302	23.04	154.84	1.89	5.0350 	0.0972	0.0079	64.1604	0.84	0.00	0.00	0.00
”¢ ‘2-1	201302	27.77	84.30	2.38	4.1597 	0.1030	0.0148	31.3783	0.47	0.00	0.00	0.00
”¢ ‘2-2	201302	27.77	12.52	11.07	5.3900 	0.0134	0.0085	17.1656	2.38	0.00	0.00	0.00
”¢ ‘2-3	201302	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201302	27.77	346.92	13.08	6.8287 	0.1132	0.0094	29.5637	0.56	0.00	0.00	0.00
”¢ ‘2-5	201302	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201302	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201302	27.77	225.17	114.29	5.5563 	0.3171	0.1180	24.2836	0.42	0.00	0.00	0.00
”¢ ‘6-1	201302	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201302	28.00	350.16	4.21	6.0537 	0.3225	0.0144	59.0872	3.06	1.46	0.00	0.00
”¢ ‘9-1	201302	0.00	0.00	0.00	0.0000 	0.3141	0.0185	191.6463	0.00	0.00	0.00	0.00
…∞37	201303	23.13	40.96	42.94	2.8324 	0.2054	0.0657	72.1457	0.39	0.00	0.00	0.00
”¢19-1	201303	3.00	3.09	0.40	0.1632 	0.0003	0.0000	0.1632	0.20	0.00	0.00	0.00
”¢∂´102	201303	30.73	156.23	24.87	0.6898 	0.2056	0.0255	7.9106	0.32	0.00	0.00	0.00
”¢∂´104	201303	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201303	31.00	860.72	27.87	8.5869 	0.3181	0.0211	25.6842	8.77	2.35	0.00	0.00
”¢∂´107	201303	0.00	0.00	0.00	0.0000 	0.0673	0.0100	5.5291	0.00	0.00	0.00	0.00
”¢∂´108	201303	26.85	6.02	90.89	2.8504 	0.0085	0.0253	4.8127	0.44	0.00	0.00	0.00
”¢∂´113	201303	23.02	63.36	2.57	3.0855 	0.0177	0.0025	5.6211	0.33	0.00	0.00	0.00
”¢∂´114	201303	17.79	10.31	145.65	1.5991 	0.0082	0.0179	7.4917	0.25	0.00	0.00	0.00
”¢∂´116	201303	19.54	76.60	11.04	2.2740 	0.0320	0.0051	6.8131	0.25	0.00	0.00	0.00
”¢∂´117	201303	30.77	339.15	5.89	5.8531 	0.0941	0.0050	12.7942	0.81	0.00	0.00	0.00
”¢ ‘1-1	201303	30.77	62.14	29.01	3.7617 	0.0810	0.0376	40.5082	0.37	0.00	0.00	0.00
”¢ ‘1-2	201303	30.77	176.90	22.78	3.7711 	0.2342	0.0402	71.4752	0.38	0.00	0.00	0.00
”¢ ‘1-3	201303	30.77	167.87	41.39	3.7661 	0.3765	0.0288	51.9747	0.38	0.00	0.00	0.00
”¢ ‘1-4	201303	30.77	53.20	83.70	3.7898 	0.3175	0.0773	56.1330	0.39	0.00	0.00	0.00
”¢ ‘11-1	201303	30.56	614.77	14.87	8.6137 	0.3580	0.0102	38.0464	3.28	1.70	0.00	0.00
”¢ ‘12-1	201303	21.03	228.69	10.01	5.2198 	0.2199	0.0091	28.4662	0.52	0.00	0.00	0.00
”¢ ‘13-1	201303	0.00	0.00	0.00	0.0000 	0.1459	0.0074	33.8369	0.00	0.00	0.00	0.00
”¢ ‘14-1	201303	0.00	0.00	0.00	0.0000 	0.0161	0.0069	59.1605	0.00	0.00	0.00	0.00
”¢ ‘15-1	201303	0.00	0.00	0.00	0.0000 	0.0972	0.0079	64.1604	0.00	0.00	0.00	0.00
”¢ ‘2-1	201303	27.31	37.01	84.78	3.5187 	0.1067	0.0232	34.8970	0.42	0.00	0.00	0.00
”¢ ‘2-2	201303	25.67	34.25	3.16	5.4901 	0.0169	0.0088	22.6557	0.38	0.00	0.00	0.00
”¢ ‘2-3	201303	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201303	30.77	674.10	27.09	9.5969 	0.1806	0.0121	39.1606	1.61	0.00	0.00	0.00
”¢ ‘2-5	201303	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201303	12.32	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	1.59	0.00	0.00	0.00
”¢ ‘4-3	201303	30.77	267.48	127.69	7.8195 	0.3439	0.1308	32.1031	0.44	0.00	0.00	0.00
”¢ ‘6-1	201303	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201303	31.00	398.64	13.26	8.0660 	0.3624	0.0157	67.1532	3.79	1.45	0.00	0.00
”¢ ‘9-1	201303	0.00	0.00	0.00	0.0000 	0.3141	0.0185	191.6463	0.00	0.00	0.00	0.00
…∞37	201304	5.71	0.25	29.90	0.9491 	0.2055	0.0687	73.0948	1.35	0.00	0.00	0.00
…∞41	201304	6.00	1.56	14.94	0.0772 	0.0002	0.0015	0.0772	0.21	0.00	0.00	0.00
”¢11-2	201304	15.42	18.13	21.07	0.3559 	0.0018	0.0021	0.3559	0.41	0.00	0.00	0.00
”¢11-2-B4	201304	29.50	139.62	8.18	1.1479 	0.0140	0.0008	1.1479	0.29	0.00	0.00	0.00
”¢15-2	201304	29.63	0.00	0.00	0.0000 	0.0000	0.0000	0.0000	0.10	0.00	0.00	0.00
”¢19-1	201304	21.79	26.07	9.00	0.7577 	0.0029	0.0009	0.9209	0.40	0.00	0.00	0.00
”¢3-3-B5	201304	4.04	11.72	0.28	12.4333 	0.0012	0.0000	12.4333	8.33	7.32	0.00	0.00
”¢3-3-B6	201304	9.77	142.55	6.02	18.2022 	0.0143	0.0006	18.2022	9.55	6.16	0.00	0.00
”¢45-2-B6	201304	13.00	0.95	22.98	0.2898 	0.0001	0.0023	0.2898	0.31	0.00	0.00	0.00
”¢5-3-B5	201304	1.00	8.59	0.10	0.0920 	0.0009	0.0000	0.0920	0.80	0.00	0.00	0.00
”¢5-8-A3	201304	13.90	279.26	6.54	1.9420 	0.0279	0.0007	1.9420	4.27	1.12	0.00	0.00
”¢5-8-A4	201304	16.85	369.24	7.47	3.6865 	0.0369	0.0007	3.6865	6.43	3.08	0.00	0.00
”¢7-1-B3	201304	3.00	47.23	1.51	0.4267 	0.0047	0.0002	0.4267	1.00	0.00	0.00	0.00
”¢7-1-B5	201304	3.00	68.90	1.36	0.4749 	0.0069	0.0001	0.4749	0.88	0.00	0.00	0.00
”¢7-1-B6	201304	3.00	72.69	0.88	1.4020 	0.0073	0.0001	1.4020	11.00	8.00	0.00	0.00
”¢∂´102	201304	29.50	152.26	13.09	0.4831 	0.2208	0.0268	8.3937	0.47	0.00	0.00	0.00
”¢∂´104	201304	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201304	30.00	803.80	14.60	10.7213 	0.3984	0.0225	36.4055	8.35	2.19	0.00	0.00
”¢∂´107	201304	0.00	0.00	0.00	0.0000 	0.0673	0.0100	5.5291	0.00	0.00	0.00	0.00
”¢∂´108	201304	0.00	0.00	0.00	0.0000 	0.0085	0.0253	4.8127	0.00	0.00	0.00	0.00
”¢∂´113	201304	0.00	0.00	0.00	0.0000 	0.0177	0.0025	5.6211	0.00	0.00	0.00	0.00
”¢∂´114	201304	27.17	24.06	239.82	1.8040 	0.0106	0.0419	9.2957	0.37	0.00	0.00	0.00
”¢∂´116	201304	1.04	0.00	0.00	0.0000 	0.0320	0.0051	6.8131	0.80	0.00	0.00	0.00
”¢∂´117	201304	11.94	94.17	2.27	2.4254 	0.1036	0.0053	15.2196	1.03	0.00	0.00	0.00
”¢ ‘1-1	201304	30.00	48.98	37.84	4.5888 	0.0859	0.0414	45.0970	0.36	0.00	0.00	0.00
”¢ ‘1-2	201304	27.06	139.60	19.05	4.2632 	0.2482	0.0421	75.7384	0.37	0.00	0.00	0.00
”¢ ‘1-3	201304	30.00	150.17	23.87	4.5425 	0.3915	0.0312	56.5172	0.37	0.00	0.00	0.00
”¢ ‘1-4	201304	30.00	67.47	102.09	4.7300 	0.3243	0.0876	60.8630	0.41	0.00	0.00	0.00
”¢ ‘11-1	201304	30.00	689.93	11.52	8.0782 	0.4270	0.0114	46.1246	1.33	0.00	0.00	0.00
”¢ ‘12-1	201304	0.00	0.00	0.00	0.0000 	0.2199	0.0091	28.4662	0.00	0.00	0.00	0.00
”¢ ‘13-1	201304	3.00	42.51	0.51	0.4259 	0.1502	0.0075	34.2628	0.97	0.00	0.00	0.00
”¢ ‘14-1	201304	12.33	0.01	0.29	0.8747 	0.0161	0.0069	60.0352	0.95	0.00	0.00	0.00
”¢ ‘15-1	201304	0.00	0.00	0.00	0.0000 	0.0972	0.0079	64.1604	0.00	0.00	0.00	0.00
”¢ ‘2-1	201304	30.00	59.56	2.77	4.7142 	0.1127	0.0235	39.6112	0.42	0.00	0.00	0.00
”¢ ‘2-2	201304	20.21	0.00	0.00	1.6962 	0.0169	0.0088	24.3519	0.49	0.00	0.00	0.00
”¢ ‘2-3	201304	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201304	30.00	609.00	78.72	19.0903 	0.2415	0.0200	58.2509	2.35	3.10	0.00	0.00
”¢ ‘2-5	201304	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201304	4.21	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201304	30.00	255.61	117.29	8.4197 	0.3694	0.1425	40.5228	0.52	0.00	0.00	0.00
”¢ ‘6-1	201304	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201304	29.50	382.13	5.39	8.4731 	0.4006	0.0162	75.6263	0.78	1.18	0.00	0.00
”¢ ‘9-1	201304	3.00	33.84	0.40	3.1707 	0.3175	0.0185	194.8170	0.90	0.00	0.00	0.00
…∞37	201305	30.33	147.38	134.05	17.2333 	0.2202	0.0821	90.3281	0.54	0.00	0.00	0.00
…∞41	201305	30.04	4.34	63.91	0.7453 	0.0006	0.0079	0.8225	0.20	0.00	0.00	0.00
”¢1-1-B3	201305	13.54	306.04	14.38	4.2377 	0.0306	0.0014	4.2377	0.91	0.93	0.00	0.00
”¢1-1-B5	201305	12.54	122.28	12.98	8.1580 	0.0122	0.0013	8.1580	1.62	0.00	0.00	0.00
”¢11-2	201305	27.25	267.05	22.88	3.7827 	0.0285	0.0044	4.1386	0.46	0.00	0.00	0.00
”¢11-2-B4	201305	28.33	67.29	2.42	2.0982 	0.0207	0.0011	3.2461	0.42	0.00	0.00	0.00
”¢11-6-A1	201305	23.04	352.57	7.54	3.4872 	0.0353	0.0008	3.4872	2.49	0.55	0.00	0.00
”¢11-6-A4	201305	23.42	441.91	5.36	3.3642 	0.0442	0.0005	3.3642	4.10	1.14	0.00	0.00
”¢11-6-A6	201305	23.04	402.90	4.88	3.2213 	0.0403	0.0005	3.2213	4.47	0.77	0.00	0.00
”¢13-1-B4	201305	13.63	161.59	19.28	1.5930 	0.0162	0.0019	1.5930	2.14	0.71	0.00	0.00
”¢13-1-B5	201305	12.54	191.52	8.19	1.4982 	0.0192	0.0008	1.4982	0.80	0.00	0.00	0.00
”¢13-1-B6	201305	13.00	172.46	4.58	1.7160 	0.0172	0.0005	1.7160	4.43	1.29	0.00	0.00
”¢13-6-A5	201305	11.88	75.71	6.72	0.2422 	0.0076	0.0007	0.2422	0.36	0.00	0.00	0.00
”¢15-2	201305	2.06	1.68	0.86	0.0092 	0.0002	0.0001	0.0092	0.22	0.00	0.00	0.00
”¢19-1	201305	18.54	12.81	15.14	0.2113 	0.0042	0.0025	1.1322	0.29	0.00	0.00	0.00
”¢3-3-B5	201305	4.88	33.42	6.96	0.9812 	0.0045	0.0007	13.4145	5.74	0.00	0.00	0.00
”¢3-3-B6	201305	18.04	327.38	11.93	13.5232 	0.0470	0.0018	31.7254	8.03	4.91	0.00	0.00
”¢45-2-B6	201305	7.94	0.67	15.22	0.6647 	0.0002	0.0038	0.9545	0.27	0.00	0.00	0.00
”¢5-1-B3	201305	3.63	151.82	4.71	0.5536 	0.0152	0.0005	0.5536	0.78	0.00	0.00	0.00
”¢5-1-B5	201305	3.63	18.84	0.55	0.7628 	0.0019	0.0001	0.7628	0.80	0.00	0.00	0.00
”¢5-3-B5	201305	2.04	13.75	0.17	1.6843 	0.0022	0.0000	1.7763	0.73	0.00	0.00	0.00
”¢5-3-B6	201305	0.00	0.00	0.00	0.0000 	0.0000	0.0000	0.0000	0.00	0.00	0.00	0.00
”¢5-8-A3	201305	28.52	638.34	30.12	0.9837 	0.0918	0.0037	2.9257	4.86	1.40	0.00	0.00
”¢5-8-A4	201305	24.88	576.44	28.76	5.6639 	0.0946	0.0036	9.3504	4.66	0.99	0.00	0.00
”¢7-1-B3	201305	29.21	450.56	6.25	11.5092 	0.0498	0.0008	11.9359	0.83	0.00	0.00	0.00
”¢7-1-B5	201305	30.02	419.93	9.61	9.4496 	0.0489	0.0011	9.9245	1.04	1.28	0.00	0.00
”¢7-1-B6	201305	31.00	554.40	12.29	9.7917 	0.0627	0.0013	11.1937	7.81	4.90	0.00	0.00
”¢7-8-A4	201305	30.58	313.39	17.96	2.0403 	0.0313	0.0018	2.0403	4.24	1.10	0.00	0.00
”¢9-1-B3	201305	2.63	26.51	1.31	0.2749 	0.0027	0.0001	0.2749	0.95	0.00	0.00	0.00
”¢9-1-B4	201305	5.29	60.64	2.39	0.5908 	0.0061	0.0002	0.5908	4.50	0.00	0.00	0.00
”¢9-1-B5	201305	5.29	62.31	3.12	0.6390 	0.0062	0.0003	0.6390	0.93	0.00	0.00	0.00
”¢9-1-B6	201305	3.29	46.05	4.12	0.3720 	0.0046	0.0004	0.3720	0.93	0.00	0.00	0.00
”¢9-2-A6	201305	6.50	93.09	2.14	0.6642 	0.0093	0.0002	0.6642	1.88	0.70	0.00	0.00
”¢9-2-B2	201305	5.88	61.42	1.23	0.6435 	0.0061	0.0001	0.6435	2.38	0.43	0.00	0.00
”¢9-2-B3	201305	6.50	70.29	5.14	0.7311 	0.0070	0.0005	0.7311	1.54	0.00	0.00	0.00
”¢9-2-B4	201305	7.00	81.90	2.88	0.7403 	0.0082	0.0003	0.7403	5.46	0.84	0.00	0.00
”¢9-2-B5	201305	6.50	112.48	2.83	0.7625 	0.0112	0.0003	0.7625	1.05	0.00	0.00	0.00
”¢9-3-B5	201305	8.63	19.32	1.90	1.3714 	0.0019	0.0002	1.3714	1.25	0.00	0.00	0.00
”¢9-3-B6	201305	9.00	109.92	2.54	1.9706 	0.0110	0.0003	1.9706	4.49	2.15	0.00	0.00
”¢∂´102	201305	9.40	52.97	5.00	0.1887 	0.2261	0.0273	8.5824	0.42	0.00	0.00	0.00
”¢∂´104	201305	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201305	31.00	576.22	21.21	7.2544 	0.4561	0.0246	43.6599	8.52	1.76	0.00	0.00
”¢∂´107	201305	0.00	0.00	0.00	0.0000 	0.0673	0.0100	5.5291	0.00	0.00	0.00	0.00
”¢∂´108	201305	0.00	0.00	0.00	0.0000 	0.0085	0.0253	4.8127	0.00	0.00	0.00	0.00
”¢∂´113	201305	0.00	0.00	0.00	0.0000 	0.0177	0.0025	5.6211	0.00	0.00	0.00	0.00
”¢∂´114	201305	23.04	0.67	2.92	0.7152 	0.0106	0.0422	10.0109	0.35	0.00	0.00	0.00
”¢∂´116	201305	27.94	387.86	12.96	3.2467 	0.0708	0.0064	10.0598	0.65	0.00	0.00	0.00
”¢∂´117	201305	0.00	0.00	0.00	0.0000 	0.1036	0.0053	15.2196	0.00	0.00	0.00	0.00
”¢ ‘1-1	201305	30.33	42.08	39.59	4.3604 	0.0901	0.0454	49.4574	0.52	0.00	0.00	0.00
